lex	word	POS	род	падеж	число	вид	переходность	время	наклонение	лицо	форма прилагательных	залог	степень сравнения
лишать	лишить	V				сов	пе		инф				
его	его	APRO	жен	пр	мн								
жизнь	жизни	S	жен	пр	ед								
когда	когда	CONJ											
он	он	SPRO	муж	им	ед					3-л			
она	ею	SPRO	жен	твор	ед					3-л			
вовсе	вовсе	ADV											
не	не	PART											
дорожить	дорожит	V			ед	несов	нп	непрош	изъяв	3-л			
злобный	злобная	A	жен	им	ед						полн		
мысль	мысль	S	жен	вин	ед								
мелькнуть	мелькнула	V	жен		ед	сов	нп	прош	изъяв				
в	в	PR											
ум	уме	S	муж	пр	ед								
мой	моем	APRO	муж	пр	ед								
я	я	SPRO		им	ед					1-л			
опускать	опустил	V	муж		ед	сов		прош	изъяв				
пистолет	пистолет	S	муж	вин	ед								
вы	вам	SPRO		дат	мн					2-л			
казаться	кажется	V			ед	несов	нп	непрош	изъяв	3-л			
теперь	теперь	ADV											
не	не	PART											
до	до	PR											
смерть	смерти	S	жен	пр	ед								
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
он	ему	SPRO	муж	дат	ед					3-л			
вы	вы	SPRO		им	мн					2-л			
изволить	изволите	V			мн	сов	нп	непрош	изъяв	2-л			
завтракать	завтракать	V				несов	нп		инф				
я	мне	SPRO		пр	ед					1-л			
не	не	PART											
хотеться	хочется	V				несов	нп	непрош	изъяв				
вы	вам	SPRO		дат	мн					2-л			
помешать	помешать	V				сов	пе		инф				
вы	вы	SPRO		им	мн					2-л			
ничуть	ничуть	ADVPRO											
не	не	PART											
мешать	мешаете	V			мн	несов	нп	непрош	изъяв	2-л			
я	мне	SPRO		пр	ед					1-л			
возражать	возразил	V	муж		ед	сов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
изволить	извольте	V			мн	сов	нп		пов	2-л			
себя	себе	SPRO		пр									
стрелять	стрелять	V				несов	пе		инф				
а	а	CONJ											
впрочем	впрочем	CONJ											
как	как	ADVPRO											
вы	вам	SPRO		дат	мн					2-л			
угодно	угодно	ADV											
выстрел	выстрел	S	муж	вин	ед								
ваш	ваш	APRO	муж	вин	ед								
оставаться	остается	V			ед	несов	нп	непрош	изъяв	3-л			
за	за	PR											
вы	вами	SPRO		твор	мн					2-л			
я	я	SPRO		им	ед					1-л			
всегда	всегда	ADVPRO											
готовый	готов	A	муж		ед						кр		
к	к	PR											
ваш	вашим	APRO	муж	дат	мн								
услуга	услугам	S	жен	дат	мн								
я	я	SPRO		им	ед					1-л			
обращаться	обратился	V	муж		ед	сов	нп	прош	изъяв				
к	к	PR											
секундант	секундантам	S	муж	дат	мн								
объявлять	объявив	V				сов	пе	прош	деепр				
что	что	CONJ											
нынче	нынче	ADV											
стрелять	стрелять	V				несов	пе		инф				
не	не	PART											
намерен	намерен	A	муж		ед						кр		
и	и	CONJ											
поединок	поединок	S	муж	вин	ед								
тем	тем	CONJ											
и	и	CONJ											
кончаться	кончился	V	муж		ед	сов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
выходить	вышел	V	муж		ед	сов	нп	прош	изъяв				
в	в	PR											
отставка	отставку	S	жен	вин	ед								
и	и	CONJ											
удаляться	удалился	V	муж		ед	сов	нп	прош	изъяв				
в	в	PR											
этот	это	APRO	сред	вин	ед								
местечко	местечко	S	сред	вин	ед								
с	с	PR											
тот	тех	APRO		пр	мн								
пора	пор	S	жен	род	мн								
не	не	PART											
проходить	прошло	V	сред		ед	сов	нп	прош	изъяв				
ни	ни	PART											
один	одного	ANUM	муж	вин	ед								
день	дня	S	муж	род	ед								
чтобы	чтобы	CONJ											
я	я	SPRO		им	ед					1-л			
не	не	PART											
думать	думал	V	муж		ед	несов	нп	прош	изъяв				
о	о	PR											
мщение	мщении	S	сред	пр	ед								
ныне	ныне	ADV											
час	час	S	муж	вин	ед								
мой	мой	APRO	муж	вин	ед								
наставать	настал	V	муж		ед	сов	нп	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
вынимать	вынул	V	муж		ед	сов	пе	прош	изъяв				
из	из	PR											
карман	кармана	S	муж	род	ед								
утро	утром	S	сред	твор	ед								
получать	полученное	V	сред	вин	ед	сов	пе	прош	прич		полн	страд	
письмо	письмо	S	сред	вин	ед								
и	и	CONJ											
давать	дал	V	муж		ед	сов	пе	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
он	его	SPRO	муж	вин	ед					3-л			
читать	читать	V				несов	пе		инф				
кто-то	кто-то	SPRO	муж	им	ед								
казаться	казалось	V	сред		ед	несов	нп	прош	изъяв				
его	его	APRO	жен	пр	мн								
поверенный	поверенный	S	муж	им	ед								
по	по	PR											
дело	делам	S	сред	дат	мн								
писать	писал	V	муж		ед	несов	пе	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
из	из	PR											
москва	москвы	S	жен	вин	мн								
что	что	CONJ											
известный	известная	A	жен	им	ед						полн		
особа	особа	S	жен	им	ед								
скоро	скоро	ADV											
должный	должна	A	жен		ед						кр		
вступать	вступить	V				сов	нп		инф				
в	в	PR											
законный	законный	A	муж	вин	ед						полн		
брак	брак	S	муж	вин	ед								
с	с	PR											
молодой	молодой	A	муж	вин	ед						полн		
и	и	CONJ											
прекрасный	прекрасной	A	жен	пр	ед						полн		
девушка	девушкой	S	жен	твор	ед								
вы	вы	SPRO		им	мн					2-л			
догадываться	догадываетесь	V			мн	несов	нп	непрош	изъяв	2-л			
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
кто	кто	SPRO	муж	им	ед								
этот	эта	APRO	жен	им	ед								
известный	известная	A	жен	им	ед						полн		
особа	особа	S	жен	им	ед								
ехать	еду	V			ед	несов	нп	непрош	изъяв	1-л			
в	в	PR											
москва	москву	S	жен	вин	ед								
посмотреть	посмотрим	V			мн	сов	пе	непрош	изъяв	1-л			
так	так	ADVPRO											
ли	ли	PART											
равнодушно	равнодушно	ADV											
принимать	примет	V			ед	сов		непрош	изъяв	3-л			
он	он	SPRO	муж	им	ед					3-л			
смерть	смерть	S	жен	вин	ед								
перед	перед	PR											
свой	своей	APRO	жен	пр	ед								
свадьба	свадьбой	S	жен	твор	ед								
как	как	CONJ											
некогда	некогда	ADV											
ждать	ждал	V	муж		ед	несов	пе	прош	изъяв				
она	ее	SPRO	жен	вин	ед					3-л			
за	за	PR											
черешня	черешнями	S	жен	твор	мн								
при	при	PR											
сей	сих	APRO		пр	мн								
слово	словах	S	сред	пр	мн								
сильвио	сильвио	S	муж	пр	мн								
вставать	встал	V	муж		ед	сов	нп	прош	изъяв				
бросать	бросил	V	муж		ед	сов		прош	изъяв				
об	об	PR											
пол	пол	S	муж	вин	ед								
свой	свою	APRO	жен	вин	ед								
фуражка	фуражку	S	жен	вин	ед								
и	и	CONJ											
становиться	стал	V	муж		ед	сов	нп	прош	изъяв				
ходить	ходить	V				несов	нп		инф				
взад	взад	ADV											
и	и	CONJ											
вперед	вперед	ADV											
по	по	PR											
комната	комнате	S	жен	пр	ед								
как	как	CONJ											
тигр	тигр	S	муж	им	ед								
по	по	PR											
свой	своей	APRO	жен	пр	ед								
клетка	клетке	S	жен	пр	ед								
я	я	SPRO		им	ед					1-л			
слушать	слушал	V	муж		ед	несов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
неподвижно	неподвижно	ADV											
странный	странные	A		вин	мн						полн		
противуположный	противуположные	A		вин	мн						полн		
чувство	чувства	S	сред	вин	мн								
волновать	волновали	V			мн	несов	пе	прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
слуга	слуга	S	муж	им	ед								
входить	вошел	V	муж		ед	сов	нп	прош	изъяв				
и	и	CONJ											
объявлять	объявил	V	муж		ед	сов	пе	прош	изъяв				
что	что	CONJ											
лошадь	лошади	S	жен	пр	ед								
готовый	готовы	A			мн						кр		
сильвио	сильвио	S	муж	пр	мн								
крепко	крепко	ADV											
сжинать	сжал	V	муж		ед	сов		прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
рука	руку	S	жен	вин	ед								
мы	мы	SPRO		им	мн					1-л			
поцеловаться	поцеловались	V			мн	сов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
садиться	сел	V	муж		ед	сов	нп	прош	изъяв				
в	в	PR											
тележка	тележку	S	жен	вин	ед								
где	где	ADVPRO											
лежать	лежали	V			мн	несов	нп	прош	изъяв				
два	два	NUM	муж	вин									
чемодан	чемодана	S	муж	род	ед								
один	один	APRO	муж	вин	ед								
с	с	PR											
пистолет	пистолетами	S	муж	твор	мн								
другой	другой	APRO	жен	пр	ед								
с	с	PR											
его	его	APRO	жен	пр	мн								
пожитки	пожитками	S		твор	мн								
мы	мы	SPRO		им	мн					1-л			
прощаться	простились	V			мн	сов	нп	прош	изъяв				
еще	еще	ADV											
раз	раз	S	муж	вин	ед								
и	и	CONJ											
лошадь	лошади	S	жен	пр	ед								
поскакать	поскакали	V			мн	сов	нп	прош	изъяв				
проходить	прошло	V	сред		ед	сов	нп	прош	изъяв				
несколько	несколько	NUM		им									
год	лет	S	муж	род	мн								
и	и	CONJ											
домашний	домашние	A		вин	мн						полн		
обстоятельство	обстоятельства	S	сред	вин	мн								
принуждать	принудили	V			мн	сов		прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
поселяться	поселиться	V				сов	нп		инф				
в	в	PR											
бедный	бедной	A	жен	пр	ед						полн		
деревенька	деревеньке	S	жен	пр	ед								
н	н	S		пр	мн								
уезд	уезда	S	муж	род	ед								
заниматься	занимаясь	V				несов	нп	непрош	деепр				
хозяйство	хозяйством	S	сред	твор	ед								
я	я	SPRO		им	ед					1-л			
не	не	PART											
переставать	переставал	V	муж		ед	несов	нп	прош	изъяв				
тихонько	тихонько	ADV											
воздыхать	воздыхать	V				несов	нп		инф				
о	о	PR											
прежний	прежней	A	жен	пр	ед						полн		
мой	моей	APRO	жен	пр	ед								
шумный	шумной	A	жен	пр	ед						полн		
и	и	CONJ											
беззаботный	беззаботной	A	жен	пр	ед						полн		
жизнь	жизни	S	жен	пр	ед								
все	всего	SPRO	сред	род	ед								
трудно	труднее	ADV											срав
быть	было	V	сред		ед	несов	нп	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
привыкать	привыкнуть	V				сов	нп		инф				
проводить	проводить	V				несов	пе		инф				
осенний	осенние	A		вин	мн						полн		
и	и	CONJ											
зимний	зимние	A		вин	мн						полн		
вечер	вечера	S	муж	вин	мн								
в	в	PR											
совершенный	совершенном	A	муж	пр	ед						полн		
уединение	уединении	S	сред	пр	ед								
до	до	PR											
обед	обеда	S	муж	род	ед								
кое-как	кое-как	ADVPRO											
еще	еще	ADV											
дотягивать	дотягивал	V	муж		ед	несов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
время	время	S	сред	вин	ед								
толковать	толкуя	V				несов	пе	непрош	деепр				
со	со	PR											
староста	старостой	S		твор	ед								
разъезжать	разъезжая	V				несов	нп	непрош	деепр				
по	по	PR											
работа	работам	S	жен	дат	мн								
или	или	CONJ											
обходить	обходя	V				несов	пе	непрош	деепр				
новый	новые	A		вин	мн						полн		
заведение	заведения	S	сред	вин	мн								
но	но	CONJ											
коль	коль	CONJ											
скоро	скоро	ADV											
начинать	начинало	V	сред		ед	несов	пе	прош	изъяв				
смеркаться	смеркаться	V				несов	нп		инф				
я	я	SPRO		им	ед					1-л			
совершенно	совершенно	ADV											
не	не	PART											
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
куда	куда	ADVPRO											
деваться	деваться	V				несов	нп		инф				
малый	малое	A	сред	вин	ед						полн		
число	число	S	сред	вин	ед								
книга	книг	S	жен	род	мн								
находить	найденных	V		пр	мн	сов	пе	прош	прич		полн	страд	
я	мною	SPRO		твор	ед					1-л			
под	под	PR											
шкаф	шкафами	S	муж	твор	мн								
и	и	CONJ											
в	в	PR											
кладовая	кладовой	S	жен	пр	ед								
быть	были	V			мн	несов	нп	прош	изъяв				
вытверживать	вытвержены	V			мн	сов		прош	прич		кр	страд	
я	мною	SPRO		твор	ед					1-л			
наизусть	наизусть	ADV											
все	все	SPRO		вин	мн								
сказка	сказки	S	жен	вин	мн								
который	которые	APRO		им	мн								
только	только	PART											
мочь	могла	V	жен		ед	несов	нп	прош	изъяв				
запоминать	запомнить	V				сов	пе		инф				
ключница	ключница	S	жен	им	ед								
кириловна	кириловна	S	жен	им	ед								
быть	были	V			мн	несов	нп	прош	изъяв				
я	мне	SPRO		пр	ед					1-л			
пересказывать	пересказаны	V			мн	сов		прош	прич		кр	страд	
песня	песни	S	жен	вин	мн								
баба	баб	S	жен	вин	мн								
наводить	наводили	V			мн	несов	пе	прош	изъяв				
на	на	PR											
я	меня	SPRO		вин	ед					1-л			
тоска	тоску	S	жен	вин	ед								
приниматься	принялся	V	муж		ед	сов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
было	было	PART											
за	за	PR											
неподслащенный	неподслащенную	A	жен	вин	ед						полн		
наливка	наливку	S	жен	вин	ед								
но	но	CONJ											
от	от	PR											
она	нее	SPRO	жен	вин	ед					3-л			
болеть	болела	V	жен		ед	несов	нп	прош	изъяв				
у	у	PR											
я	меня	SPRO		вин	ед					1-л			
голова	голова	S	жен	им	ед								
да	да	CONJ											
признаваться	признаюсь	V			ед	несов	нп	непрош	изъяв	1-л			
побояться	побоялся	V	муж		ед	сов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
сделаться	сделаться	V				сов	нп		инф				
пьяница	пьяницею	S		твор	ед								
с	с	PR											
горе	горя	S	сред	род	ед								
т	т	S		пр	мн								
е	е	S		пр	мн								
самый	самым	APRO	муж	дат	мн								
горький	горьким	A	муж	дат	мн						полн		
пьяница	пьяницею	S		твор	ед								
что	чему	SPRO	сред	дат	ед								
пример	примеров	S	муж	род	мн								
множество	множество	S	сред	вин	ед								
видеть	видел	V	муж		ед	несов	пе	прош	изъяв				
я	я	SPRO		им	ед					1-л			
в	в	PR											
наш	нашем	APRO	муж	пр	ед								
уезд	уезде	S	муж	пр	ед								
близкий	близких	A		пр	мн						полн		
сосед	соседей	S	муж	вин	мн								
около	около	PR											
я	меня	SPRO		вин	ед					1-л			
не	не	PART											
быть	было	V	сред		ед	несов	нп	прош	изъяв				
кроме	кроме	PR											
два	двух	NUM	муж	пр									
или	или	CONJ											
три	трех	NUM		пр									
горький	горьких	A		пр	мн						полн		
кой	коих	APRO		пр	мн								
беседа	беседа	S	жен	им	ед								
состоять	состояла	V	жен		ед	несов	нп	прош	изъяв				
больший	большею	A	жен	твор	ед						полн		
часть	частию	S	жен	твор	ед								
в	в	PR											
икота	икоте	S	жен	пр	ед								
и	и	CONJ											
воздыхание	воздыханиях	S	сред	пр	мн								
уединение	уединение	S	сред	вин	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
сносный	сноснее	A											срав
в	в	PR											
четыре	четырех	NUM		пр									
верста	верстах	S	жен	пр	мн								
от	от	PR											
я	меня	SPRO		вин	ед					1-л			
находиться	находилось	V	сред		ед	несов	нп	прош	изъяв				
богатый	богатое	A	сред	вин	ед						полн		
поместье	поместье	S	сред	пр	ед								
принадлежать	принадлежащее	V	сред	вин	ед	несов	нп	непрош	прич		полн	действ	
графиня	графине	S	жен	пр	ед								
б	б	S		пр	мн								
но	но	CONJ											
в	в	PR											
он	нем	SPRO	муж	пр	ед					3-л			
жить	жил	V	муж		ед	несов	нп	прош	изъяв				
только	только	PART											
управитель	управитель	S	муж	им	ед								
а	а	CONJ											
графиня	графиня	S	жен	им	ед								
посещать	посетила	V	жен		ед	сов	пе	прош	изъяв				
свой	свое	APRO	сред	вин	ед								
поместье	поместье	S	сред	пр	ед								
только	только	PART											
однажды	однажды	ADV											
в	в	PR											
первый	первый	ANUM	муж	вин	ед								
год	год	S	муж	вин	ед								
свой	своего	APRO	муж	вин	ед								
замужество	замужества	S	сред	вин	мн								
и	и	CONJ											
то	то	SPRO	сред	вин	ед								
проживать	прожила	V	жен		ед	сов	пе	прош	изъяв				
там	там	ADVPRO											
не	не	PART											
много	более	ADV											срав
месяц	месяца	S	муж	род	ед								
однако	однако	CONJ											
ж	ж	PART											
во	во	PR											
второй	вторую	ANUM	жен	вин	ед								
весна	весну	S	жен	вин	ед								
мой	моего	APRO	муж	вин	ед								
затворничество	затворничества	S	сред	вин	мн								
разнестись	разнесся	V	муж		ед	сов	нп	прош	изъяв				
слух	слух	S	муж	вин	ед								
что	что	CONJ											
графиня	графиня	S	жен	им	ед								
с	с	PR											
муж	мужем	S	муж	твор	ед								
приезжать	приедет	V			ед	сов	нп	непрош	изъяв	3-л			
на	на	PR											
лето	лето	S	сред	вин	ед								
в	в	PR											
свой	свою	APRO	жен	вин	ед								
деревня	деревню	S	жен	вин	ед								
в	в	PR											
самый	самом	APRO	муж	пр	ед								
дело	деле	S	сред	пр	ед								
они	они	SPRO		им	мн								
прибывать	прибыли	V			мн	сов	нп	прош	изъяв				
в	в	PR											
начало	начале	S	сред	пр	ед								
июнь	июня	S	муж	род	ед								
месяц	месяца	S	муж	род	ед								
приезд	приезд	S	муж	вин	ед								
богатый	богатого	A	муж	вин	ед						полн		
сосед	соседа	S	муж	вин	ед								
быть	есть	V			ед	несов	нп	непрош	изъяв	3-л			
важный	важная	A	жен	им	ед						полн		
эпоха	эпоха	S	жен	им	ед								
для	для	PR											
деревенский	деревенских	A		пр	мн						полн		
житель	жителей	S	муж	вин	мн								
помещик	помещики	S	муж	им	мн								
и	и	CONJ											
их	их	APRO	жен	пр	мн								
дворовый	дворовые	A		вин	мн						полн		
человек	люди	S	муж	им	мн								
толковать	толкуют	V			мн	несов	пе	непрош	изъяв	3-л			
о	о	PR											
то	том	SPRO	сред	пр	ед								
месяц	месяца	S	муж	род	ед								
два	два	NUM	муж	вин									
прежде	прежде	ADV											
и	и	CONJ											
год	года	S	муж	вин	мн								
три	три	NUM		им									
спустя	спустя	PR											
что	что	SPRO	сред	вин	ед								
касаться	касается	V			ед	несов	нп	непрош	изъяв	3-л			
до	до	PR											
я	меня	SPRO		вин	ед					1-л			
то	то	PART											
признаваться	признаюсь	V			ед	несов	нп	непрош	изъяв	1-л			
известие	известие	S	сред	вин	ед								
о	о	PR											
прибытие	прибытии	S	сред	пр	ед								
молодой	молодой	A	муж	вин	ед						полн		
и	и	CONJ											
прекрасный	прекрасной	A	жен	пр	ед						полн		
соседка	соседки	S	жен	род	ед								
сильно	сильно	ADV											
на	на	PR											
я	меня	SPRO		вин	ед					1-л			
подействовать	подействовало	V	сред		ед	сов	нп	прош	изъяв				
я	я	SPRO		им	ед					1-л			
гореть	горел	V	муж		ед	несов	нп	прош	изъяв				
нетерпение	нетерпением	S	сред	твор	ед								
она	ее	SPRO	жен	вин	ед					3-л			
увидеть	увидеть	V				сов	пе		инф				
и	и	CONJ											
потому	потому	ADVPRO											
в	в	PR											
первый	первое	ANUM	сред	вин	ед								
воскресение	воскресенье	S	сред	пр	ед								
по	по	PR											
ее	ее	APRO	жен	пр	мн								
приезд	приезде	S	муж	пр	ед								
отправляться	отправился	V	муж		ед	сов	нп	прош	изъяв				
после	после	PR											
обед	обеда	S	муж	род	ед								
в	в	PR											
село	село	S	сред	вин	ед								
рекомендоваться	рекомендоваться	V				несов	нп		инф				
они	их	SPRO		вин	мн								
сиятельство	сиятельствам	S	сред	дат	мн								
как	как	CONJ											
близкий	ближайший	A	муж	вин	ед						полн		прев
сосед	сосед	S	муж	им	ед								
и	и	CONJ											
всепокорнейший	всепокорнейший	A	муж	вин	ед						полн		
слуга	слуга	S	муж	им	ед								
лакей	лакей	S	муж	им	ед								
вводить	ввел	V	муж		ед	сов		прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
в	в	PR											
графский	графский	A	муж	вин	ед						полн		
кабинет	кабинет	S	муж	вин	ед								
а	а	CONJ											
сам	сам	APRO	муж	вин	ед								
пойти	пошел	V	муж		ед	сов	нп	прош	изъяв				
обо	обо	PR											
я	мне	SPRO		пр	ед					1-л			
докладывать	доложить	V				сов	пе		инф				
обширный	обширный	A	муж	вин	ед						полн		
кабинет	кабинет	S	муж	вин	ед								
быть	был	V	муж		ед	несов	нп	прош	изъяв				
убирать	убран	V	муж		ед	сов		прош	прич		кр	страд	
со	со	PR											
всевозможный	всевозможною	A	жен	твор	ед						полн		
роскошь	роскошью	S	жен	твор	ед								
около	около	PR											
стена	стен	S	жен	род	мн								
стоять	стояли	V			мн	несов	нп	прош	изъяв				
шкаф	шкафы	S	муж	вин	мн								
с	с	PR											
книга	книгами	S	жен	твор	мн								
и	и	CONJ											
над	над	PR											
каждый	каждым	APRO	муж	дат	мн								
бронзовый	бронзовый	A	муж	вин	ед						полн		
бюст	бюст	S	муж	вин	ед								
над	над	PR											
мраморный	мраморным	A	муж	дат	мн						полн		
камин	камином	S	муж	твор	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
широкий	широкое	A	сред	вин	ед						полн		
зеркало	зеркало	S	сред	вин	ед								
пол	пол	S	муж	вин	ед								
обивать	обит	V	муж		ед	сов		прош	прич		кр	страд	
быть	был	V	муж		ед	несов	нп	прош	изъяв				
зеленый	зеленым	A	муж	дат	мн						полн		
сукно	сукном	S	сред	твор	ед								
и	и	CONJ											
устилать	устлан	V	муж		ед	сов		прош	прич		кр	страд	
ковер	ковром	S	муж	твор	ед								
отвыкать	отвыкнув	V				сов	нп	прош	деепр				
от	от	PR											
роскошь	роскоши	S	жен	пр	ед								
в	в	PR											
бедный	бедном	A	муж	пр	ед						полн		
угол	углу	S	муж	дат	ед								
мой	моем	APRO	муж	пр	ед								
и	и	CONJ											
уже	уже	ADV											
давно	давно	ADV											
не	не	PART											
видать	видав	V				несов	пе	прош	деепр				
чужой	чужого	A	муж	вин	ед						полн		
богатство	богатства	S	сред	вин	мн								
я	я	SPRO		им	ед					1-л			
оробеть	оробел	V	муж		ед	сов	нп	прош	изъяв				
и	и	CONJ											
ждать	ждал	V	муж		ед	несов	пе	прош	изъяв				
граф	графа	S	муж	вин	ед								
с	с	PR											
какой-то	каким-то	APRO	муж	дат	мн								
трепет	трепетом	S	муж	твор	ед								
как	как	CONJ											
проситель	проситель	S	муж	им	ед								
из	из	PR											
провинция	провинции	S	жен	пр	ед								
ждать	ждет	V			ед	несов	пе	непрош	изъяв	3-л			
выход	выхода	S	муж	род	ед								
министр	министра	S	муж	вин	ед								
дверь	двери	S	жен	пр	ед								
отворяться	отворились	V			мн	сов	нп	прош	изъяв				
и	и	CONJ											
входить	вошел	V	муж		ед	сов	нп	прош	изъяв				
мужчина	мужчина	S	муж	им	ед								
год	лет	S	муж	род	мн								
тридцать	тридцати	NUM		пр									
два	двух	NUM	муж	пр									
прекрасный	прекрасный	A	муж	вин	ед						полн		
себя	собою	SPRO		твор									
граф	граф	S	муж	им	ед								
приближаться	приблизился	V	муж		ед	сов	нп	прош	изъяв				
ко	ко	PR											
я	мне	SPRO		пр	ед					1-л			
с	с	PR											
вид	видом	S	муж	твор	ед								
открытый	открытым	A	муж	дат	мн						полн		
и	и	CONJ											
дружелюбный	дружелюбным	A	муж	дат	мн						полн		
я	я	SPRO		им	ед					1-л			
стараться	старался	V	муж		ед	несов	нп	прош	изъяв				
ободряться	ободриться	V				сов	нп		инф				
и	и	CONJ											
начинать	начал	V	муж		ед	сов	пе	прош	изъяв				
быть	было	V	сред		ед	несов	нп	прош	изъяв				
себя	себя	SPRO		вин									
рекомендовать	рекомендовать	V				несов	пе		инф				
но	но	CONJ											
он	он	SPRO	муж	им	ед					3-л			
предупреждать	предупредил	V	муж		ед	сов		прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
мы	мы	SPRO		им	мн					1-л			
садиться	сели	V			мн	сов	нп	прош	изъяв				
разговор	разговор	S	муж	вин	ед								
его	его	APRO	жен	пр	мн								
свободный	свободный	A	муж	вин	ед						полн		
и	и	CONJ											
любезный	любезный	A	муж	вин	ед						полн		
вскоре	вскоре	ADV											
рассевать	рассеял	V	муж		ед	сов	пе	прош	изъяв				
мой	мою	APRO	жен	вин	ед								
одичалый	одичалую	A	жен	вин	ед						полн		
застенчивость	застенчивость	S	жен	вин	ед								
я	я	SPRO		им	ед					1-л			
уже	уже	ADV											
начинать	начинал	V	муж		ед	несов	пе	прош	изъяв				
входить	входить	V				несов	нп		инф				
в	в	PR											
обыкновенный	обыкновенное	A	сред	вин	ед						полн		
мой	мое	APRO	сред	вин	ед								
положение	положение	S	сред	вин	ед								
как	как	CONJ											
вдруг	вдруг	ADV											
входить	вошла	V	жен		ед	сов	нп	прош	изъяв				
графиня	графиня	S	жен	им	ед								
и	и	CONJ											
смущение	смущение	S	сред	вин	ед								
овладевать	овладело	V	сред		ед	сов	нп	прош	изъяв				
я	мною	SPRO		твор	ед					1-л			
пуще	пуще	ADV											
прежний	прежнего	A	муж	вин	ед						полн		
в	в	PR											
самый	самом	APRO	муж	пр	ед								
дело	деле	S	сред	пр	ед								
она	она	SPRO	жен	им	ед					3-л			
быть	была	V	жен		ед	несов	нп	прош	изъяв				
красавица	красавица	S	жен	им	ед								
граф	граф	S	муж	им	ед								
представлять	представил	V	муж		ед	сов	пе	прош	изъяв				
я	меня	SPRO		вин	ед					1-л			
я	я	SPRO		им	ед					1-л			
хотеть	хотел	V	муж		ед	несов	пе	прош	изъяв				
казаться	казаться	V				несов	нп		инф				
развязный	развязным	A	муж	дат	мн						полн		
но	но	CONJ											
чем	чем	CONJ											
много	больше	ADV											срав
стараться	старался	V	муж		ед	несов	нп	прош	изъяв				
взять	взять	V				сов	пе		инф				
на	на	PR											
себя	себя	SPRO		вин									
вид	вид	S	муж	вин	ед								
непринужденность	непринужденности	S	жен	пр	ед								
то	тем	SPRO	сред	твор	ед								
более	более	ADV											
чувствовать	чувствовал	V	муж		ед	несов	пе	прош	изъяв				
себя	себя	SPRO		вин									
неловкий	неловким	A	муж	дат	мн						полн		
они	они	SPRO		им	мн								
чтобы	чтобы	CONJ											
давать	дать	V				сов	пе		инф				
я	мне	SPRO		пр	ед					1-л			
время	время	S	сред	вин	ед								
оправляться	оправиться	V				сов	нп		инф				
и	и	CONJ											
привыкать	привыкнуть	V				сов	нп		инф				
к	к	PR											
новый	новому	A	муж	дат	ед						полн		
знакомство	знакомству	S	сред	дат	ед								
становиться	стали	V			мн	сов	нп	прош	изъяв				
говорить	говорить	V				несов	пе		инф				
между	между	PR											
себя	собою	SPRO		твор									
обходиться	обходясь	V				несов	нп	непрош	деепр				
со	со	PR											
я	мною	SPRO		твор	ед					1-л			
как	как	CONJ											
с	с	PR											
добрый	добрым	A	муж	дат	мн						полн		
сосед	соседом	S	муж	твор	ед								
и	и	CONJ											
без	без	PR											
церемония	церемонии	S	жен	пр	ед								
между	между	PR											
то	тем	SPRO	сред	твор	ед								
я	я	SPRO		им	ед					1-л			
становиться	стал	V	муж		ед	сов	нп	прош	изъяв				
ходить	ходить	V				несов	нп		инф				
взад	взад	ADV											
и	и	CONJ											
вперед	вперед	ADV											
осматривать	осматривая	V				несов	пе	непрош	деепр				
книга	книги	S	жен	вин	мн								
и	и	CONJ											
картина	картины	S	жен	вин	мн								
в	в	PR											
картина	картинах	S	жен	пр	мн								
я	я	SPRO		им	ед					1-л			
не	не	PART											
знаток	знаток	S	муж	им	ед								
но	но	CONJ											
один	одна	APRO	жен	им	ед								
привлекать	привлекла	V	жен		ед	сов		прош	изъяв				
мой	мое	APRO	сред	вин	ед								
внимание	внимание	S	сред	вин	ед								
она	она	SPRO	жен	им	ед					3-л			
изображать	изображала	V	жен		ед	несов	пе	прош	изъяв				
какой-то	какой-то	APRO	муж	вин	ед								
вид	вид	S	муж	вин	ед								
из	из	PR											
швейцария	швейцарии	S	жен	пр	ед								
но	но	CONJ											
